fid,osm_id,code,fclass,name
3,"5094968",7201,forest,
4,"5671995",7202,park,Δασούδη
5,"5734344",7201,forest,
7,"5814223",7201,forest,
8,"5815949",7201,forest,Timi Forest
9,"7244364",7202,park,Presidential Park
10,"5928051",7202,park,
11,"5930005",7202,park,
12,"5930059",7201,forest,
13,"5930059",7202,park,
14,"7035217",7201,forest,Κρατικό Δάσος Λίμνη
17,"7576238",7202,park,
18,"7709926",7202,park,
19,"7971016",7202,park,Molos Lemesos
20,"8028859",7202,park,
21,"8038456",7201,forest,
22,"8052208",7202,park,
24,"8053525",7202,park,
25,"8061808",7202,park,
26,"8070040",7201,forest,
27,"8070786",7202,park,
28,"8070878",7202,park,
29,"8070881",7202,park,
30,"8070883",7202,park,
31,"8070910",7202,park,
32,"8070915",7202,park,
33,"8070920",7202,park,
34,"8070924",7202,park,
35,"8070928",7202,park,
36,"8070953",7202,park,
37,"8074629",7202,park,
38,"8074633",7202,park,
39,"8074638",7202,park,
40,"8074706",7202,park,
42,"8075666",7202,park,
44,"8103900",7202,park,
45,"8104027",7201,forest,
54,"10213251",7202,park,Famagusta Gate
57,"12807637",7229,farmland,
59,"13711994",7202,park,
60,"13712030",7202,park,
61,"13859588",7202,park,Ivis Maliotou Park
62,"13859757",7202,park,
63,"13859822",7202,park,
64,"13863301",7202,park,
67,"13863380",7201,forest,
69,"14334323",7202,park,Kato Vrisi
70,"14334518",7202,park,
71,"14334527",7202,park,
72,"14335237",7202,park,
73,"14335254",7202,park,
74,"14373114",7202,park,Yeroskipou Plague
75,"14400401",7202,park,
76,"14400776",7202,park,Πάρκο Ποιητών και Πνευματικών Δημιουργών - Άντη Χατζηκ
77,"14577217",7202,park,
78,"14579142",7202,park,
79,"14775509",7202,park,
80,"15500478",7202,park,
81,"15501438",7202,park,
82,"15501537",7202,park,
83,"15527770",7202,park,
84,"17028947",7229,farmland,Πάρκο του Ασπροκρέμμου
85,"17030556",7229,farmland,
86,"17032536",7202,park,
87,"17480819",7202,park,
88,"17480824",7202,park,
89,"17480856",7202,park,
90,"17480876",7202,park,
91,"17480890",7202,park,
92,"17480903",7202,park,
93,"17480925",7202,park,
94,"17481016",7202,park,
96,"18591450",7202,park,
97,"18831018",7202,park,
98,"18831129",7202,park,
99,"19741093",7202,park,
102,"20291174",7202,park,
104,"20790281",7202,park,
106,"21164138",7202,park,Pattihio Forest Park
108,"21776511",7202,park,Grammiko Parko
111,"22634563",7202,park,Δημοτικός Κήπος Λευκωσίας
113,"22745811",7217,scrub,
114,"22745972",7201,forest,
115,"22764451",7202,park,
116,"22792067",7202,park,
118,"22869411",7202,park,
120,"22869714",7202,park,
121,"22870463",7202,park,
122,"22870472",7202,park,
123,"22870535",7202,park,
128,"22943232",7202,park,
129,"22956429",7201,forest,
130,"22970428",7202,park,
131,"22970430",7202,park,
132,"22981766",7202,park,Epiloges park
136,"23607299",7202,park,Πάρκο Τάκη Ζεμπύλα
139,"24064471",7202,park,
141,"24156942",7201,forest,
142,"24156942",7217,scrub,
145,"24159081",7202,park,
146,"24159085",7202,park,Elaionos Park
148,"24245317",7202,park,
149,"24272743",7218,grass,
150,"24272792",7202,park,
151,"24273128",7202,park,
155,"24512960",7202,park,
156,"24543033",7229,farmland,
160,"24613809",7215,orchard,
161,"24627914",7202,park,
162,"24628491",7202,park,
163,"24635369",7202,park,
164,"24635595",7202,park,
166,"24647809",7202,park,
167,"24647828",7202,park,
168,"24647851",7202,park,
169,"24647930",7202,park,Nymphon Park
170,"24648201",7202,park,
171,"24648266",7202,park,
172,"24648410",7202,park,
173,"24652856",7202,park,
174,"24665165",7202,park,
175,"24670885",7202,park,
176,"24704726",7202,park,
177,"24704940",7202,park,
180,"24717095",7202,park,"Muncipal Park ""Salina"""
181,"24719489",7202,park,
183,"24741930",7202,park,
184,"24741931",7202,park,
185,"24741932",7202,park,
186,"24742044",7202,park,
187,"24742050",7202,park,
188,"24742072",7202,park,
189,"24742074",7202,park,
190,"24742080",7202,park,
191,"24742084",7202,park,
192,"24742113",7202,park,
193,"24742152",7202,park,
194,"24742218",7202,park,
195,"24742275",7202,park,
196,"24742276",7202,park,
197,"24759535",7202,park,
198,"24759539",7202,park,
200,"24759932",7202,park,Xirokambou community park
201,"24778456",7202,park,
202,"24780609",7202,park,
203,"24780613",7202,park,
205,"24780652",7202,park,
206,"24780961",7202,park,
207,"24781284",7202,park,
208,"24781322",7202,park,
209,"24781342",7202,park,
210,"24781345",7202,park,
211,"24781671",7201,forest,
212,"24782787",7202,park,
213,"24801018",7202,park,
214,"24801290",7202,park,Costanza Bastion Moat
215,"24883462",7202,park,
216,"24884464",7202,park,
217,"24884491",7202,park,
218,"24884516",7202,park,
219,"24884610",7202,park,
221,"24900839",7202,park,
222,"24900951",7202,park,
225,"24980727",7202,park,
226,"24981330",7202,park,
227,"24982164",7201,forest,
228,"24999264",7202,park,Nikitara Park
229,"24999286",7202,park,Playground Park Themistokleous
230,"24999302",7202,park,Atlantos Park - Playground
231,"24999339",7202,park,
232,"24999399",7202,park,Aliminias Community park
233,"24999410",7202,park,
234,"25044836",7202,park,
235,"25045130",7202,park,
236,"25045208",7202,park,
237,"25045228",7202,park,
238,"25045301",7202,park,
239,"25046042",7202,park,
240,"25046267",7202,park,Peiraios Park
242,"25625435",7202,park,Πάρκο Στράβωνος
243,"25625445",7202,park,Πάρκο Μαρίνου Γαβριήλ
244,"25625509",7202,park,
245,"25625723",7202,park,
246,"25768560",7202,park,
247,"25768751",7202,park,Πανικου Δημητριου
248,"25768771",7202,park,
249,"25768903",7202,park,
250,"26216102",7201,forest,
251,"26261058",7202,park,
252,"26261075",7202,park,
254,"26261133",7202,park,
255,"26292031",7202,park,
257,"26529753",7202,park,
258,"26529833",7202,park,
260,"26546932",7202,park,
261,"26546968",7202,park,
262,"26546974",7202,park,
265,"26937276",7202,park,
266,"26967931",7202,park,
267,"26968170",7202,park,
268,"26999580",7202,park,Faneromeni Park
269,"27173818",7202,park,
270,"27294661",7202,park,
271,"27320370",7202,park,
272,"27333853",7202,park,Πάρκο Αγίου Ανδρονίκου
274,"27344443",7202,park,
275,"27356856",7218,grass,
276,"27373900",7218,grass,
277,"27374796",7218,grass,
278,"27374800",7218,grass,
280,"27385362",7218,grass,
281,"27390222",7202,park,
282,"27390225",7202,park,
283,"27442963",7202,park,
286,"27479047",7202,park,
287,"27501527",7202,park,
288,"27517195",7218,grass,
289,"27517995",7218,grass,
290,"27518277",7218,grass,
291,"27518981",7218,grass,
292,"27518986",7218,grass,
293,"27519360",7218,grass,
294,"27519361",7218,grass,
295,"27528130",7218,grass,
296,"27528132",7218,grass,
297,"27528515",7218,grass,
298,"27528516",7218,grass,
299,"27528807",7218,grass,
300,"27528808",7218,grass,
301,"27528809",7218,grass,
302,"27535366",7218,grass,
303,"27535367",7218,grass,
304,"27535370",7218,grass,
305,"27535423",7218,grass,
306,"27540833",7218,grass,
307,"27540835",7218,grass,
308,"27540836",7218,grass,
309,"27540837",7218,grass,
310,"27541312",7218,grass,
311,"27541313",7218,grass,
312,"27542352",7218,grass,
313,"27542353",7218,grass,
315,"27630718",7202,park,
318,"28188646",7218,grass,
319,"28188647",7218,grass,
320,"28188648",7218,grass,
321,"28188650",7218,grass,
323,"28276020",7202,park,
324,"28308168",7202,park,Episkopi Village
328,"28462990",7202,park,
331,"28596560",7217,scrub,
334,"28695009",7201,forest,Kastrovounos Forest
335,"29372351",7202,park,Palaipaphos
339,"29380196",7218,grass,
340,"29380198",7218,grass,
341,"29380911",7218,grass,
342,"29380913",7218,grass,
343,"29380914",7218,grass,
344,"29380924",7218,grass,
345,"29380925",7218,grass,
346,"29380928",7218,grass,
358,"34385308",7215,orchard,
359,"34385322",7215,orchard,
360,"34385339",7202,park,
361,"34385368",7215,orchard,
364,"34572587",7229,farmland,
365,"34582086",7229,farmland,
366,"34595483",7229,farmland,
367,"34595484",7229,farmland,
368,"34596918",7229,farmland,
369,"34597019",7229,farmland,
370,"34597380",7229,farmland,
371,"34620908",7215,orchard,
372,"34623769",7229,farmland,
373,"34720682",7229,farmland,
374,"37863910",7202,park,
379,"44959152",7217,scrub,
383,"45197084",7217,scrub,
384,"45471118",7202,park,
385,"45471282",7202,park,
390,"48166810",7202,park,
394,"52523901",7202,park,Dasoudi
395,"52523901",7201,forest,Dasoudi
430,"76374446",7201,forest,
431,"76559271",7228,farmyard,Donkey Farm
461,"77683650",7228,farmyard,
462,"77688839",7228,farmyard,
463,"77688850",7228,farmyard,
465,"77688867",7228,farmyard,
466,"77689574",7228,farmyard,
467,"77689575",7228,farmyard,
468,"77689576",7228,farmyard,
469,"77689579",7228,farmyard,
470,"77689580",7228,farmyard,
471,"77689581",7228,farmyard,
472,"77689583",7228,farmyard,
473,"77689586",7228,farmyard,
474,"77689589",7228,farmyard,
475,"77993458",7228,farmyard,
476,"77993461",7228,farmyard,
477,"78152064",7228,farmyard,
478,"81254343",7202,park,St. Elias Garden
479,"81582605",7229,farmland,
480,"81954153",7229,farmland,
481,"81954516",7215,orchard,
482,"81954617",7229,farmland,
485,"82244450",7229,farmland,
488,"82478950",7229,farmland,
489,"82619482",7217,scrub,
492,"82807467",7229,farmland,
496,"83055283",7228,farmyard,
502,"83759313",7229,farmland,
503,"83759331",7229,farmland,
