fid,osm_id,code,fclass,name
1,"4312225",2733,archaeological,
253,"24698251",2733,archaeological,Κούριο
425,"28363441",2733,archaeological,Amathus Port Buildings
438,"29372351",2733,archaeological,Palaipaphos
444,"29373836",2733,archaeological,
671,"83295734",2733,archaeological,Kalavasos-Tenta
685,"83861303",2733,archaeological,Sanctuary of Apollo
733,"91295305",2733,archaeological,Ancient Kition
770,"104915866",2733,archaeological,Lempa Prehistoric Village
946,"141175993",2733,archaeological,
981,"146902609",2733,archaeological,
982,"146902610",2733,archaeological,Amathus
1245,"185873017",2733,archaeological,Tamassos
1422,"190472832",2733,archaeological,Idalion
1502,"197857338",2733,archaeological,Ayia Trias
1520,"199114449",2733,archaeological,Kalavasos-Tenta
2032,"231981717",2733,archaeological,Maroni Vournes
2033,"231983163",2733,archaeological,Pigades Tapınağı
2036,"232029232",2733,archaeological,Kalavasos Ayios Dhimitrios
2037,"232029233",2733,archaeological,
2219,"259391074",2733,archaeological,Enkomi
2788,"309626999",2733,archaeological,Reservoir
2794,"309627004",2733,archaeological,Ancient Theater
2880,"326870268",2733,archaeological,Amathus
3308,"397539920",2733,archaeological,
3309,"397602623",2733,archaeological,Salamis
3313,"397693200",2733,archaeological,The Necropolis at Meletis Forest
3423,"421694126",2733,archaeological,Ancient Basilica
4085,"514596209",2733,archaeological,Marion Ruins
4121,"515453094",2733,archaeological,Ancient Military Port of Kition
4145,"515509428",2733,archaeological,
4404,"530833623",2733,archaeological,
5618,"576870907",2733,archaeological,Πανω Μαντηλαρης
5619,"576871086",2733,archaeological,Paliotaverna
6019,"629941933",2733,archaeological,Amathus
6048,"630871185",2733,archaeological,Kolossi Castle
6059,"631238710",2733,archaeological,Chrysopolitissa complex
6109,"633617694",2733,archaeological,Τάφος 1
6184,"633840566",2733,archaeological,Kourion Stadium
6586,"698277448",2733,archaeological,
6797,"729710832",2733,archaeological,
7363,"830317095",2733,archaeological,
7419,"837412361",2733,archaeological,Reconstructed Prehistoric Village
7600,"884432831",2733,archaeological,
7792,"908517856",2733,archaeological,Akdeniz Kral Mezarları
7793,"908517859",2733,archaeological,Toumba tou Skourou
7794,"908517860",2733,archaeological,
8150,"977529302",2733,archaeological,Archaeological Park
8224,"986026546",2733,archaeological,Pachyammos sanctuary
8440,"1016837714",2733,archaeological,Malloura Archaeological Site
8978,"13970957",2733,archaeological,Τάφοι των Βασιλέων
9171,"1065904039",2733,archaeological,Bamboulari tis Koukouninas (Golgoi)
9506,"1094472480",2733,archaeological,Local Archaeological Museum Ledroi
9588,"1101925644",2733,archaeological,
9590,"1101925655",2733,archaeological,Choirokoitia Remains
9893,"13970997",2733,archaeological,Paphos Archaeological Park
9897,"1124712234",2733,archaeological,Ancient Sanctuary at Marion
9934,"1133517223",2733,archaeological,Vouni Palace
10023,"1147378230",2733,archaeological,Agios Georgios Ancient Basilikas
10179,"1158569046",2733,archaeological,Malloura
10253,"1173111503",2733,archaeological,Pyrgos-Mavrorarki Bronze Age archaeological site
10541,"1216196112",2733,archaeological,Stone Age House
10585,"1223892955",2733,archaeological,Erimi Laonin tou Porakou
10586,"1223896793",2733,archaeological,"Alambra, Area A"
10587,"1223897060",2733,archaeological,"Alambra, Area B"
10588,"1223897288",2733,archaeological,"Alambra, Area C"
10709,"1243069503",2733,archaeological,Laneia rock-cut chambers at Akrotiri
10938,"1252936164",2733,archaeological,
11334,"1298185476",2733,archaeological,
11527,"1308299539",2733,archaeological,"Point 1: The Lower City, Section A"
11528,"1308299540",2733,archaeological,"Point 2: The Lower City, Section B"
11600,"1314242138",2733,archaeological,Paralimni-Nissia
11693,"1334219605",2733,archaeological,Kissonerga Mosfilia
11750,"1339235518",2733,archaeological,
11777,"1342456149",2733,archaeological,
11849,"1351021711",2733,archaeological,
11852,"1351256407",2733,archaeological,
12011,"1372919073",2733,archaeological,Anogyra-Vlou Archeological Site
12277,"1390250966",2733,archaeological,Paphos amphitheatre
12530,"1416392833",2733,archaeological,Girne Ergene Sokak Doğal ve Arkeolojik Sit Alanı
12531,"19376415",2733,archaeological,Ozanköy-Mines/Katalymata Arkeolojik Sit Alanı
12532,"19378322",2733,archaeological,Tatlısu Afrodision - Karaburun Arkeolojik Sit Alanı
12695,"1435538107",2733,archaeological,
